Country,IUU_Score,Coastal.score,Coastal.score.by.Vulnerability,Size.of.EEZ,Agreement.over.all.maritime.boundaries,Dependency.on.fish.for.protein,Authorise.foreign.vessels.to.operate.in.EEZ,Coastal.score.by.Prevalence,Has.MSC.certified.fisheries,Views.of.MCS.practitioners.on.coastal.compliance.incidents,Coastal.score.by.Response,Coastal.State.is.contracting.party.or.cooperating.non.contracting.party.to.all.relevant.RFMOs,Operate.a.national.VMS.FMC.centre,Flag.score,Flag.score.by.Vulnerability,Distant.water.vessels.on.RFMO.RAVs,Distant.water.vessels.under.several.RFMOs,Flag.score.by.Prevalence,Vessels.on.IUU.lists,View.of.fisheries.observers.on.flag.state.compliance.incidents,Views.of.MCS.practitioners.on.flag.state.compliance.incidents,Flag.score.by.Response,Accepted.FAO.Compliance.Agreement,Authorised.vessel.data.provided.to.FAO.HSVAR,Provision.of.vessel.data.for.inclusion.in.Global.Record,Compliance.with.RFMO.flag.state.obligations,Flag.State.is.contracting.party.or.cooperating.non.contracting.party.to.all.relevant.RFMOs,Port.score,Port.score.by.Vulnerability,Number.of.fishing.ports,Port.visits.by.foreign.fishing.or.carrier.vessels,Port.score.by.Prevalence,Views.of.MCS.practitioners.on.port.compliance.incidents,View.of.fisheries.observers.on.port.compliance.incidents,Port.score.by.Response,Party.to.the.PSMA,Designated.ports.specified.for.entry.by.foreign.vessels,Compliance.with.RFMO.port.state.obligations,General.score,General.score.by.Vulnerability,Trade.balance.for.fisheries.products,Share.of.global.imports,Perception.of.levels.of.corruption,Gross.national.income.per.capita,Volume.of.catches,General.score.by.Prevalence,Carded..under.the.EU.IUU.Regulation,Identified..by.NOAA.for.IUU.fishing,Mentions.of.IUU.fishing.in.media.reports,General.score.by.Response,Mandatory.vessel.tracking.for.commercial.seagoing.fleet,Demand.for.MSC.products,Ratification.accession.of.UNCLOS.Convention,Ratification.accession.of.UNFSA,Mentions.in.media.reports.to.combatting.IUU.fishing,Have.a.NPOA.IUU,Market.State.is.contracting.party.or.cooperating.non.contracting.party.to.relevant.RFMOs
Netherlands,2.02,1.63,2.67,3,5,3,1,1,1,1,1,1,1,2.33,3.5,2,5,1.67,1,2,2,2.22,1,3,1,4,1,2.44,4.5,4,5,1,1,1,2.5,1,1,5,1.73,1.22,1,3,1,1,1,1,1,1,1,2.43,1,1,1,1,5,5,1
Malta,2.01,2.21,3.25,2,5,4,NA,2.6,5,1,1,1,1,2.08,3.5,5,2,1,1,1,1,2.22,1,3,1,4,1,2.07,3.5,2,5,1,1,1,2.2,1,NA,3,1.81,1.89,1,1,3,2,1,1,1,1,1,2.27,1,4,1,1,5,NA,1
Chile,2.01,1.79,3.25,5,1,2,NA,1.4,2,1,1,1,1,1.92,4,5,3,1,1,1,1,1.44,1,5,1,1,1,2.44,4.5,4,5,1.5,2,1,2.13,1,1,4,1.93,2.44,5,1,2,2,3,1.43,1,1,2,1.86,1,5,1,1,3,1,1
Cyprus,2.01,1.75,1.67,2,1,3,1,2.6,5,1,1,1,1,1.96,3,3,3,1,1,1,1,2.22,1,3,1,4,1,2,4,3,5,1,1,1,1.75,1,1,3,2.2,2.11,3,1,3,2,1,1,1,1,1,2.86,1,4,1,1,5,5,1
Romania,2,1.86,2,1,5,1,NA,2.6,5,1,1,1,1,1.92,1.5,1,2,1.67,1,3,1,2.44,1,3,5,2,1,2.2,4,3,5,2,1,3,1,1,NA,1,2.04,2.56,5,1,3,3,1,1,1,1,1,2.27,1,4,1,1,5,NA,1
New Zealand,1.99,2.38,4.67,5,5,3,5,1,1,1,1,1,1,2.58,4,4,4,1,1,1,1,3.22,1,4,5,4,1,1.78,4.5,4,5,1,1,1,1,1,1,1,1.43,1.56,4,1,1,1,2,1,1,1,1,1.57,1,3,1,1,3,1,1
Oman,1.99,2.82,4,4,5,3,NA,2.6,5,1,1,1,NA,1.75,1,1,1,1,1,1,1,3,1,5,5,3,1,1.8,4,3,5,1,1,1,1,1,NA,1,1.96,2.11,3,1,3,2,1,1,1,1,1,2.45,NA,5,1,1,5,1,1
Monaco,1.99,2.09,1,1,1,1,NA,2.6,5,1,3,3,NA,1.64,1,1,1,1,1,1,1,3,NA,NA,5,3,1,2.8,3.5,2,5,1,1,1,4.4,5,NA,4,1.73,1,NA,NA,NA,1,1,1,1,1,1,2.45,1,5,1,1,5,NA,1
Ghana,1.98,2.75,3.33,3,1,3,5,3.8,5,3,1,1,1,1.54,1.5,2,1,1,1,1,1,2.11,1,5,1,3,1,1.83,4,3,5,1.5,2,1,1,1,1,1,2,3.22,4,1,4,5,1,1,1,1,1,1.71,1,5,1,1,2,1,1
Canada,1.97,2.13,4,5,1,3,5,1,1,1,1,1,1,2.17,4.5,4,5,1,1,1,1,1.78,1,5,1,2,1,2.33,5,5,5,1,1,1,2,5,1,1,1.5,1.78,2,3,1,1,3,1,1,1,1,1.57,1,3,1,1,3,1,1
Costa Rica,1.97,2.44,3.5,4,1,2,5,2.6,5,1,1,1,1,1.91,2.5,4,1,1,1,1,1,2.5,5,NA,5,1,1,1.67,4,3,5,1,1,1,1,1,1,1,1.93,2,2,1,3,2,1,1.71,1,2,2,2,1,5,1,1,4,1,1
Denmark,1.94,2.38,4.67,5,5,3,5,1,1,1,1,1,1,1.71,2,2,2,1,1,1,1,2.22,1,3,1,4,1,2.11,4.5,4,5,1,1,1,1.75,1,1,3,1.8,1.44,1,3,1,1,2,1,1,1,1,2.43,1,1,1,1,5,5,1
Barbados,1.94,2.54,3,3,5,5,1,2.6,5,1,1,1,NA,1.71,1,1,NA,1,1,1,1,2.67,1,5,5,2,1,1,1,1,1,1,NA,NA,1,2.04,NA,NA,2,5,1,2,2,1,1,1,1,1,3,5,NA,1,1,5,1,NA,2.54
Australia,1.91,1.63,2.67,5,1,3,1,1,1,1,1,1,1,2.67,4.5,4,5,1,1,1,1,3.11,1,3,5,4,1,1.78,4.5,4,5,1,1,1,1,1,1,1,1.53,1.56,1,3,2,1,1,2.29,1,1,4,1.14,1,2,1,1,1,1,1
